name,date,slice_s_idx,slice_e_idx,start_time,end_time,d_max,d_min,orientation,centroid,area,perimeter,circularity,y0,y1,probe,first_diode_trunc,last_diode_trunc,Category,CA,Co,CC,CBC,CG,HPC,Dif,FA,WD,aspect_ratio
1002353_1,220730,1002353,1003004,19:17:28.901000000,19:17:28.901000000,5666.177482414315,824.2568426337085,-1.3482572403116693,"(62.72577991977143, 314.0045597529653)",3465100,15500.853531617384,5.518049457566962,0,127,ch_0,313,233,CG,0.0,0.0,0.0,0.0,1.0,1.347993383582491e-10,0.0,0.0,0.0,6.874286253189538
1003804_1,220730,1003804,1003840,19:17:33.644000000,19:17:33.644000000,387.6609278889017,54.67558129091269,1.5110372701819563,"(3.730769230769231, 12.634615384615385)",10400,733.1370849898476,4.112701347922936,75,81,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.090202220736748
1003990_2,220730,1003990,1004051,19:17:35.641000000,19:17:35.641000000,641.6621300051822,116.76002865522526,1.5165693723039857,"(6.271719038817006, 30.850277264325324)",54100,1431.482322781408,3.014149918398982,115,127,ch_0,0,23,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.495563313879561
1007977_1,220730,1007977,1008009,19:17:36.639000000,19:17:36.639000000,336.35697919328493,59.22341553784353,1.5128246919832191,"(4.184, 14.2)",12500,665.9188309203677,2.823076943903826,99,106,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.679459317545678
1009039_1,220730,1009039,1009088,19:17:42.598000000,19:17:42.598000000,543.283433267561,70.35282107599932,1.5653348136029748,"(2.9356223175965663, 24.987124463519315)",23300,1195.9188309203678,4.88469693496564,114,120,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.722269341277357
1009089_1,220730,1009089,1009124,19:17:42.598000000,19:17:42.598000000,365.7641069182705,68.43732739582242,-1.513226126259796,"(2.403973509933775, 15.456953642384105)",15100,983.1370849898476,5.093793625831098,114,119,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.344511845162989
1032162_1,220730,1032162,1032193,19:18:00.694000000,19:18:01.849000000,326.7408195720151,57.00793173786583,-1.498701431565172,"(3.3076923076923075, 19.73076923076923)",10400,630.7106781186548,3.0438073699652564,122,127,ch_0,0,27,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.731497523440009
1033778_1,220730,1033778,1033813,19:18:02.145000000,19:18:02.145000000,412.2094153810792,49.34888219510773,-1.5623948592147827,"(1.8591549295774648, 16.556338028169016)",14200,773.1370849898476,3.3497685643997706,123,127,ch_0,0,15,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.352963573751305
109194_1,220730,109194,109212,17:00:28.969000000,17:00:28.985000000,470.8630059933645,85.18853986049035,0.3152023809196197,"(19.04983388704319, 9.40531561461794)",30100,1015.9797974644664,2.728938728301836,0,39,ch_0,8,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.527304573648953
109246_1,220730,109246,109260,17:00:28.985000000,17:00:28.985000000,499.5060066846636,84.136695268352,0.2004113608378407,"(20.902208201892744, 7.782334384858044)",31700,1108.050865276332,3.082125142073516,0,43,ch_0,8,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.936838915428054
110143_22,220730,110143,110152,17:00:29.562000000,17:00:29.593000000,484.05400899067,79.18663150074042,0.0775276579367163,"(25.477941176470587, 4.073529411764706)",27200,1046.6295090390224,3.2048461244191406,66,111,ch_0,0,0,Dif,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.112824852085595
110861_11,220730,110861,110870,17:00:29.936000000,17:00:29.952000000,507.88654447796455,87.0667405685579,0.0511703093761872,"(22.4375, 4.715625)",32000,1115.9188309203678,3.096744466386904,61,106,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833301455428272
146054_1,220730,146054,146061,17:04:57.676000000,17:04:57.676000000,377.0700599940471,71.24864526583734,0.0436614344926073,"(15.556701030927835, 3.417525773195876)",19400,842.842712474619,2.9139458583960813,0,32,ch_0,0,0,Dif,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.292311995367111
15051_1,220730,15051,15060,16:55:32.725000000,16:55:32.834000000,552.1563288839026,81.36443202653368,0.0668537428915894,"(24.53846153846154, 5.062130177514793)",33800,1165.269119345812,3.196876878188467,9,58,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.786212539452612
163773_1,220730,163773,163783,17:05:00.265000000,17:05:00.265000000,319.48691727271853,55.60043990008053,0.2795641991988158,"(13.413533834586467, 4.669172932330827)",13300,637.9898987322333,2.435376439452335,70,96,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.746122114265067
166032_1,220730,166032,166045,17:05:00.437000000,17:05:00.437000000,322.03719531982614,56.5525127563069,0.4338640891489767,"(12.566176470588236, 6.367647058823529)",13600,642.842712474619,2.418024391680775,43,68,ch_0,0,0,CC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69448075114773
181938_1,220730,181938,181965,17:05:05.039000000,17:05:05.039000000,300.96678312738175,58.95089882017943,-1.4449830143065223,"(4.096153846153846, 15.884615384615385)",10400,657.634559672906,3.3092231406006696,121,127,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1053807346590965
