date,probe,circularity,% circular,min diameter,% small size,truncated,% truncated,all thresholds
2022/06/22 11,2ds ch0,0,,0,,0,,0
2022/06/22 11,2ds ch0,2,33.33333333333333,1,66.66666666666666,2,33.33333333333333,0
2022/06/22 11,2ds ch0,84630,7.652521196381611,10919,88.08528747422062,79504,13.245965321955849,9653
2022/07/19 15,2ds ch0,87864,4.6542163575792435,39136,57.531496532939784,69375,24.71758922661226,28601
2022/07/20 16,2ds ch0,127409,6.525853973471064,26195,80.7819286301209,114992,15.635637985679072,20130
2022/07/22 15,2ds ch0,0,,0,,0,,0
2022/07/22 16,2ds ch0,747,1.321003963011889,479,36.723910171730516,50,93.39498018494055,32
2022/07/23 15,2ds ch0,69516,3.5852484708949945,39988,44.53891069471991,47184,34.55846659547024,25070
2022/07/24 15,2ds ch0,545159,3.518511963754779,296147,47.588312331870306,402372,28.78875831799519,209678
2022/07/25 15,2ds ch0,97656,6.975680850455805,33619,67.97549986187714,84339,19.66107507215729,26647
2022/07/26 15,2ds ch0,4090,9.951563188022899,1755,61.36063408190224,3559,21.642448260678115,1165
2022/07/27 15,2ds ch0,0,,0,,0,,0
2022/07/27 16,2ds ch0,1352,9.565217391304348,826,44.74916387959866,990,33.77926421404682,475
2022/07/29 15,2ds ch0,2321,13.685384901450353,332,87.6534027519524,2326,13.499442171811083,232
2022/07/30 15,2ds ch0,17032,5.566644488800177,5527,69.35573297848747,14505,19.577511643379907,4243
2022/08/01 15,2ds ch0,6758,4.669205811821131,3908,44.872337424178305,5100,28.05755395683453,2676
2022/08/02 15,2ds ch0,10386,4.443831079216119,3880,64.302143711473,8424,22.49516974882694,2592
2022/08/03 15,2ds ch0,147,11.976047904191617,93,44.31137724550898,99,40.7185628742515,48
2022/08/04 16,2ds ch0,184,11.961722488038278,17,91.86602870813397,175,16.267942583732058,10
2022/08/06 15,2ds ch0,15877,3.5829234226027817,7032,57.29641100382583,12551,23.780895123580496,5129
2022/08/07 16,2ds ch0,17521,6.399914525348577,4518,75.86409530423633,15336,18.072546610395854,3281
2022/08/07 18,2ds ch0,349,3.0555555555555554,116,67.77777777777779,268,25.555555555555554,82
2022/08/08 16,2ds ch0,16601,5.158820840950639,5834,66.67047531992687,13787,21.23514625228519,4686
