name,date,slice_s_idx,slice_e_idx,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio
94298_1_19ch0,220719,94298,94331,349.10353231148406,392.0459156782532,402.2437072223753,71200.0,1446.040764008565,2.3370672749515307,ch0,25,0,0,1.2176355174093048
94298_2_19ch0,220719,94298,94311,146.83957778888202,130.0,140.356688476182,4400.0,313.1370849898476,1.773399036876014,ch0,0,0,0,3.0890493436902933
226470_1_19ch0,220719,226470,226482,152.27258237874852,126.49110640673518,143.17821063276352,4200.0,315.2081528017131,1.882503227249908,ch0,0,0,0,3.3953852043193247
226470_3_19ch0,220719,226470,226482,166.37654802568406,172.04650534085255,180.27756377319943,11800.0,610.416305603426,2.512814218776822,ch0,0,0,0,1.5866842481405827
230869_1_19ch0,220719,230869,230878,144.226251695454,144.22205101855957,158.11388300841895,7800.0,487.27922061357856,2.422430450291248,ch0,0,0,0,1.4741774295825532
230869_4_19ch0,220719,230869,230878,119.69913394282727,108.16653826391968,116.619037896906,5800.0,389.70562748477136,2.0837014637903546,ch0,0,0,0,1.335041474722632
235921_1_19ch0,220719,235921,235937,351.43522731736937,317.8049716414141,327.56678708318395,28000.0,1170.477272147525,3.8936604423295305,ch0,0,4,0,2.39493475845333
235921_3_19ch0,220719,235921,235926,101.87979356177608,100.0,110.4536101718726,2800.0,216.5685424949238,1.3329776022766653,ch0,0,1,0,1.9688431070873735
249985_1_19ch0,220719,249985,249995,137.6088385861642,114.0175425099138,130.384048104053,4100.0,281.4213562373095,1.5371646292120489,ch0,0,0,0,3.407774722095797
249985_2_19ch0,220719,249985,250001,253.0595486227815,245.15301344262525,257.0992026436488,29200.0,1058.0508652763322,3.0508466459690537,ch0,0,0,0,1.4695636263593947
364115_1_19ch0,220719,364115,364179,824.9879205062451,869.2525524840291,882.3831367382311,264300.0,5793.635277547903,10.106371924458989,ch0,0,0,0,1.5119356154396817
364115_13_19ch0,220719,364115,364124,202.94417566554344,155.24174696260025,170.8800749063506,7700.0,627.6345596729059,4.071112553121838,ch0,0,0,0,1.7896655881284695
806361_1_19ch0,220719,806361,806379,314.2200834609581,291.547594742265,303.6445290137795,34600.0,1026.6904755831213,2.4243376354328,ch0,0,0,0,1.9543119279238632
806361_2_19ch0,220719,806361,806371,125.11257020858578,104.40306508910552,120.83045973594572,3900.0,258.9949493661166,1.3686995328119085,ch0,0,0,0,2.8770315163162685
830185_1_19ch0,220719,830185,830220,546.6054483135545,530.0943312279428,540.8326913195983,82800.0,2218.233764908628,4.729055625784276,ch0,0,0,0,2.075702777148825
830185_2_19ch0,220719,830185,830198,141.62088522603486,130.384048104053,141.4213562373095,5900.0,322.78174593052023,1.4052579699072447,ch0,0,0,0,2.453529704477104
1188953_1_19ch0,220719,1188953,1188964,130.00055234803148,120.83045973594572,130.0,2900.0,226.5685424949238,1.4086119221006896,ch0,0,0,0,2.994171100372527
1188953_2_19ch0,220719,1188953,1188967,203.3647757797603,215.40659228538016,232.59406699226017,19400.0,673.492424049175,1.8606035089938195,ch0,0,0,0,1.3788370386269675
1403973_1_19ch0,220719,1403973,1403986,175.82007979619857,170.29386365926402,184.39088914585773,14900.0,715.5634918610405,2.7346403461101043,ch0,13,0,0,1.1965008247279243
1403973_2_19ch0,220719,1403973,1403984,108.53789418561206,110.0,120.0,3300.0,230.7106781186548,1.2835464429152157,ch0,0,0,0,2.349983481195803
14000_1_20ch0,220720,14000,14014,214.93183916643235,172.04650534085255,186.01075237738277,8500.0,523.8477631085024,2.569102299117718,ch0,0,0,0,2.5171336639592927
14000_5_20ch0,220720,14000,14025,262.8036672554816,288.44410203711914,296.81644159311656,44900.0,1001.4823227814082,1.7775849754547683,ch0,0,18,0,1.0992925385738792
367051_1_20ch0,220720,367051,367083,624.0794655940975,636.9458375717671,646.2197768561405,112100.0,2111.665222413705,3.1654441713998445,ch0,0,0,0,2.431450174514479
367051_3_20ch0,220720,367051,367058,163.6112670801484,152.97058540778357,162.78820596099706,4400.0,372.42640687119285,2.508524768778465,ch0,0,0,0,2.3357408468292884
568208_1_20ch0,220720,568208,568224,417.40300023315774,441.8144406874905,451.7742799230607,45500.0,1273.259018078045,2.8353864590609943,ch0,0,0,0,2.660461739015441
568208_3_20ch0,220720,568208,568222,157.3702355117519,143.17821063276352,152.97058540778357,8500.0,429.7056274847714,1.72867476741821,ch0,0,14,0,2.0129666410048164
728277_1_20ch0,220720,728277,728318,538.2913274137524,579.7413216254298,592.0304046246274,92000.0,2500.0104602052656,5.406123469068635,ch0,0,0,0,1.2790118475086905
728277_2_20ch0,220720,728277,728290,201.06660657529483,201.24611797498108,210.2379604162864,17100.0,623.1980515339465,1.8073663791613648,ch0,0,4,0,1.748941166455256
1003345_1_20ch0,220720,1003345,1003359,231.6755765574146,215.870331449229,228.0350850198276,22200.0,785.9797974644666,2.2144196572807315,ch0,0,0,0,1.602393437608521
1003345_2_20ch0,220720,1003345,1003355,113.93599037102194,104.40306508910552,114.0175425099138,3800.0,242.42640687119288,1.2307402065411246,ch0,0,0,0,2.6249716963117296
1016899_1_20ch0,220720,1016899,1016909,101.50007694612076,100.4987562112089,110.4536101718726,3800.0,226.5685424949238,1.074993308971579,ch0,0,0,0,1.9257283770047564
1016899_2_20ch0,220720,1016899,1016910,177.1608723284571,180.27756377319943,188.67962264113208,14700.0,637.9898987322333,2.20343582617116,ch0,0,0,0,1.4006419123365426
1084989_1_20ch0,220720,1084989,1085000,140.77170588338296,117.04699910719626,134.1640786499874,3500.0,266.9238815542512,1.6199326356370505,ch0,0,0,0,3.016085731878204
1084989_2_20ch0,220720,1084989,1085007,310.54513884653574,311.44823004794875,321.40317359976393,40100.0,943.553390593274,1.7667647368249664,ch0,0,0,0,1.7504313643948546
1154864_1_20ch0,220720,1154864,1154875,136.27553317822498,114.0175425099138,130.384048104053,4500.0,333.492424049175,1.966751849241367,ch0,0,0,0,1.9555652466912663
1154864_2_20ch0,220720,1154864,1154882,221.90202329981403,226.71568097509268,236.00847442411893,28200.0,809.4112549695428,1.8487556135540213,ch0,0,0,0,1.150208693392966
1271379_1_20ch0,220720,1271379,1271390,117.29688845319774,110.4536101718726,120.41594578792296,3700.0,287.2792206135785,1.7749937969692413,ch0,0,0,0,2.0295972794205666
1271379_2_20ch0,220720,1271379,1271394,314.93434828562306,300.8321791298265,313.8470965295043,29000.0,1149.116882454314,3.6234356131234167,ch0,0,0,0,2.1552209765057544
1336131_1_20ch0,220720,1336131,1336144,343.0073277322234,335.26109228480425,347.85054261852173,30300.0,998.050865276332,2.616091070784774,ch0,0,0,0,2.7701093839998605
