name,date,slice_s_idx,slice_e_idx,start_time,end_time,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio,wind_w,pres,alt,temp,LWC,IWC
94298_1_19ch0,220719,94298,94332,53:05.0,53:05.0,349.7101327,392.0459157,402.2437072,71300,1454.325035,2.360606326,ch0,25,0,0,1.219160623,-2.0431948,400.87717,7644.9404,257.9089,0.032682706,0.076399386
94298_2_19ch0,220719,94298,94311,53:05.0,53:05.0,146.8395778,130,140.3566885,4400,313.137085,1.773399037,ch0,0,0,0,3.089049344,-2.0431948,400.87717,7644.9404,257.9089,0.032682706,0.076399386
226470_1_19ch0,220719,226470,226482,56:50.7,56:50.7,152.2725824,126.4911064,143.1782106,4200,315.2081528,1.882503227,ch0,0,0,0,3.395385204,-2.7623172,388.69946,7885.331,255.70236,0.16222349,0.33487892
226470_3_19ch0,220719,226470,226483,56:50.7,56:50.7,174.5907119,172.0465053,186.0107524,13000,652.4873734,2.606099587,ch0,0,0,0,1.533949452,-2.7623172,388.69946,7885.331,255.70236,0.16222349,0.33487892
230869_1_19ch0,220719,230869,230879,56:50.8,56:50.8,135.5563667,144.222051,152.6433752,8000,483.492424,2.3253027,ch0,0,0,0,1.263412206,-2.7623172,388.69946,7885.331,255.70236,0.186962,0.44295257
230869_4_19ch0,220719,230869,230879,56:50.8,56:50.8,127.3318876,116.6190379,125.2996409,6300,403.8477631,2.060084099,ch0,0,0,0,1.422839271,-2.7623172,388.69946,7885.331,255.70236,0.186962,0.44295257
235921_1_19ch0,220719,235921,235938,56:50.9,56:50.9,349.7671759,317.8049716,327.5667871,28600,1188.761543,3.932000797,ch0,0,4,0,2.307064491,-2.7623172,388.69946,7885.331,255.70236,0.20870729,0.28334114
235921_3_19ch0,220719,235921,235926,56:50.9,56:50.9,101.8797936,100,110.4536102,2800,216.5685425,1.332977602,ch0,0,1,0,1.968843107,-2.7623172,388.69946,7885.331,255.70236,0.20870729,0.28334114
249985_1_19ch0,220719,249985,249995,56:51.3,56:51.3,137.6088386,114.0175425,130.3840481,4100,281.4213562,1.537164629,ch0,0,0,0,3.407774722,-2.7623172,388.69946,7885.331,255.70236,0.3099839,0.23613556
249985_2_19ch0,220719,249985,250002,56:51.3,56:51.3,253.8874809,245.1530134,259.6150997,29400,1078.406204,3.147803118,ch0,0,0,0,1.465887614,-2.7623172,388.69946,7885.331,255.70236,0.3099839,0.23613556
364115_1_19ch0,220719,364115,364180,04:04.6,04:04.6,824.919411,869.2525525,882.3831367,264600,5807.777413,10.14425652,ch0,0,0,0,1.507363023,0.43608752,428.62976,7139.6304,261.3612,0.008301605,0.029498398
364115_13_19ch0,220719,364115,364124,04:04.6,04:04.6,202.9441757,155.241747,170.8800749,7700,627.6345597,4.071112553,ch0,0,0,0,1.789665588,0.43608752,428.62976,7139.6304,261.3612,0.008301605,0.029498398
806361_1_19ch0,220719,806361,806380,11:06.9,11:06.9,313.9176541,291.5475947,303.644529,35200,1034.974747,2.421625488,ch0,0,0,0,1.909872152,6.61E-05,451.98834,6729.8833,263.03412,0.004091413,0.19165337
806361_2_19ch0,220719,806361,806371,11:06.9,11:06.9,125.1125702,104.4030651,120.8304597,3900,258.9949494,1.368699533,ch0,0,0,0,2.877031516,6.61E-05,451.98834,6729.8833,263.03412,0.004091413,0.19165337
830185_1_19ch0,220719,830185,830221,11:11.3,11:11.3,546.9752059,530.0943312,540.8326913,82900,2226.518036,4.758696864,ch0,0,0,0,2.076258375,0.44460255,452.15314,6729.3623,263.61365,0,0.096942514
830185_2_19ch0,220719,830185,830198,11:11.3,11:11.3,141.6208852,130.3840481,141.4213562,5900,322.7817459,1.40525797,ch0,0,0,0,2.453529704,0.44460255,452.15314,6729.3623,263.61365,0,0.096942514
1188953_1_19ch0,220719,1188953,1188964,15:08.6,15:08.6,130.0005523,120.8304597,130,2900,226.5685425,1.408611922,ch0,0,0,0,2.9941711,-0.32854366,463.52786,6538.0825,263.90796,0.015428569,0.017651306
1188953_2_19ch0,220719,1188953,1188968,15:08.6,15:08.6,202.5102183,215.4065923,228.4731932,19600,675.9188309,1.854911341,ch0,0,0,0,1.357914942,-0.32854366,463.52786,6538.0825,263.90796,0.015428569,0.017651306
1403973_1_19ch0,220719,1403973,1403987,20:03.6,20:03.6,188.0089444,178.0449381,192.0937271,16200,735.5634919,2.657758116,ch0,13,0,0,1.274688734,1.2434211,472.3631,6388.004,264.4714,0,0.29272678
1403973_2_19ch0,220719,1403973,1403984,20:03.6,20:03.6,108.5378942,110,120,3300,230.7106781,1.283546443,ch0,0,0,0,2.349983481,1.2434211,472.3631,6388.004,264.4714,0,0.29272678
14000_1_20ch0,220720,14000,14014,35:50.6,35:50.6,214.9318392,172.0465053,186.0107524,8500,523.8477631,2.569102299,ch0,0,0,0,2.517133664,-0.30816025,392.99344,7793.719,256.289,0.004555945,0.046033062
14000_5_20ch0,220720,14000,14026,35:50.6,35:50.6,263.8623118,288.444102,296.8164416,45600,1015.624458,1.800079125,ch0,0,19,0,1.08071894,-0.30816025,392.99344,7793.719,256.289,0.004555945,0.046033062
367051_1_20ch0,220720,367051,367084,40:59.8,40:59.8,626.5371278,636.9458376,646.2197769,112500,2148.233765,3.264379863,ch0,0,0,0,2.436519089,-2.6847816,352.44666,8610.611,251.001,0.000161093,0.17451775
367051_3_20ch0,220720,367051,367058,40:59.8,40:59.8,163.6112671,152.9705854,162.788206,4400,372.4264069,2.508524769,ch0,0,0,0,2.335740847,-2.6847816,352.44666,8610.611,251.001,0.000161093,0.17451775
568208_1_20ch0,220720,568208,568225,41:06.7,41:06.7,417.9293526,441.8144407,451.7742799,45400,1309.827561,3.007201517,ch0,0,0,0,2.669447583,-0.47199288,352.35294,8603.233,250.57713,0.05960513,0.43103302
568208_3_20ch0,220720,568208,568222,41:06.7,41:06.7,157.3702355,143.1782106,152.9705854,8500,429.7056275,1.728674767,ch0,0,14,0,2.012966641,-0.47199288,352.35294,8603.233,250.57713,0.05960513,0.43103302
