date,probe,raw,circularity,% circular,min diameter,% small size,truncated,% truncated,all thresholds
2022/06/22 11,ch_1,0,0,,0,,0,,0
2022/06/22 11,ch_1,3,2,33.33333333333333,2,33.33333333333333,0,100.0,0
2022/06/22 11,ch_1,90410,84397,6.650812963167792,10885,87.96040261033072,75899,16.05021568410574,9351
2022/07/19 15,ch_1,92984,88540,4.779316871719866,39581,57.432461498752474,66624,28.348963262496774,27763
2022/07/20 16,ch_1,136933,128183,6.389986343686329,26019,80.99873660841433,111715,18.416305784580782,19141
2022/07/22 15,ch_1,0,0,,0,,0,,0
2022/07/22 16,ch_1,507,501,1.183431952662722,306,39.64497041420118,12,97.63313609467455,7
2022/07/23 15,ch_1,72896,70378,3.4542361720807726,40385,44.59915496049166,44558,38.87456101843723,23780
2022/07/24 15,ch_1,561539,542368,3.4140104249215106,294824,47.497146235613194,376991,32.86468081468963,198666
2022/07/25 15,ch_1,107097,100040,6.589353576664146,35047,67.27546056378797,81884,23.54220939895609,26855
2022/07/26 15,ch_1,4481,3994,10.868109796920331,1637,63.46797589823701,3314,26.04329390760991,1006
2022/07/27 16,ch_1,1221,1115,8.681408681408682,651,46.68304668304668,696,42.997542997543,320
2022/07/29 15,ch_1,2539,2178,14.218196140212683,315,87.59354076408034,2071,18.432453721937772,229
2022/07/30 15,ch_1,18286,17360,5.063983375259761,5684,68.91611068577053,13860,24.204309307667067,4089
2022/08/01 15,ch_1,6945,6666,4.017278617710583,3749,46.0187185025198,4645,33.117350611951046,2368
2022/08/02 15,ch_1,11025,10560,4.217687074829931,3846,65.1156462585034,7908,28.272108843537413,2329
2022/08/03 15,ch_1,161,156,3.1055900621118013,96,40.37267080745342,81,49.68944099378882,45
2022/08/04 16,ch_1,205,180,12.195121951219512,16,92.19512195121952,156,23.902439024390244,7
2022/08/06 15,ch_1,0,0,,0,,0,,0
2022/08/06 15,ch_1,16826,16197,3.738262213241412,7225,57.06050160465945,11958,28.93141566623083,4952
2022/08/07 16,ch_1,18934,17792,6.031477764867434,4555,75.94274849477131,14869,21.469314460758422,3114
2022/08/07 18,ch_1,379,372,1.8469656992084433,118,68.86543535620054,277,26.912928759894463,80
2022/08/08 16,ch_1,17854,17008,4.73843396437773,6011,66.33247451551473,13220,25.954968074381092,4626
